"chrome,Chrome"
"clouds,Clouds"
"crimson_editor,Crimson Editor"
"dawn,Dawn"
"dreamweaver,Dreamweaver"
"eclipse,Eclipse"
"github,GitHub"
"iplastic,IPlastic"
"solarized_light,Solarized Light"
"textmate,TextMate"
"tomorrow,Tomorrow"
"xcode,XCode"
"kuroir,Kuroir"
"katzenmilch,KatzenMilch"
"sqlserver,SQL Server"
"ambiance,Ambiance"
"chaos,Chaos"
"clouds_midnight,Clouds Midnight"
"cobalt,Cobalt"
"gruvbox,GruvBox"
